Species,Region,YEAR,N_SITES,PPOS,NOMINAL_STD,StdWtYhat,newLB,newUB,CVannual
Greater Amberjack,Gulf,2007,NA,NA,1.037,1.213,0.912,1.514,0.236
Greater Amberjack,Gulf,2008,NA,NA,0.944,0.846,0.655,1.037,0.214
Greater Amberjack,Gulf,2009,NA,NA,2.13,1.683,1.408,1.957,0.155
Greater Amberjack,Gulf,2010,NA,NA,0.809,0.736,0.59,0.881,0.188
Greater Amberjack,Gulf,2011,NA,NA,0.929,0.799,0.644,0.954,0.184
Greater Amberjack,Gulf,2012,NA,NA,1.07,0.962,0.834,1.089,0.126
Greater Amberjack,Gulf,2013,NA,NA,0.943,0.953,0.739,1.166,0.213
Greater Amberjack,Gulf,2014,NA,NA,1.132,1.049,0.869,1.229,0.163
Greater Amberjack,Gulf,2015,NA,NA,1.106,0.982,0.805,1.16,0.172
Greater Amberjack,Gulf,2016,NA,NA,0.92,0.918,0.799,1.038,0.123
Greater Amberjack,Gulf,2017,NA,NA,0.759,0.752,0.604,0.901,0.188
Greater Amberjack,Gulf,2018,NA,NA,0.57,0.613,0.515,0.712,0.153
Greater Amberjack,Gulf,2019,NA,NA,0.713,0.718,0.637,0.799,0.107
Greater Amberjack,Gulf,2020,NA,NA,0.379,0.473,0.372,0.575,0.204
Greater Amberjack,Gulf,2021,NA,NA,0.675,0.794,0.686,0.902,0.13
Greater Amberjack,Gulf,2022,NA,NA,0.934,1.13,0.972,1.288,0.133
Greater Amberjack,Gulf,2023,NA,NA,0.912,1.234,1.06,1.409,0.134
Hogfish,East,2006,256,0.105,NA,0.846,0.792,0.901,0.206
Hogfish,East,2007,212,0.113,NA,1.887,1.743,2.032,0.245
Hogfish,East,2008,195,0.2,NA,1.655,1.562,1.748,0.18
Hogfish,East,2009,256,0.18,NA,1.493,1.413,1.574,0.172
Hogfish,East,2010,299,0.114,NA,0.729,0.673,0.785,0.245
Hogfish,East,2011,561,0.112,NA,0.861,0.817,0.905,0.163
Hogfish,East,2012,535,0.116,NA,1.14,1.091,1.188,0.137
Hogfish,East,2013,386,0.065,NA,0.849,0.792,0.907,0.218
Hogfish,East,2014,642,0.058,NA,0.601,0.571,0.63,0.157
Hogfish,East,2015,591,0.056,NA,0.692,0.653,0.731,0.181
Hogfish,East,2016,901,0.07,NA,0.733,0.703,0.764,0.134
Hogfish,East,2017,850,0.1,NA,0.664,0.641,0.688,0.112
Hogfish,East,2018,834,0.095,NA,0.827,0.796,0.858,0.12
Hogfish,East,2019,1118,0.061,NA,0.744,0.708,0.78,0.155
Hogfish,East,2020,729,0.107,NA,1.08,1.04,1.121,0.12
Hogfish,East,2021,947,0.083,NA,0.887,0.853,0.922,0.125
Hogfish,East,2022,895,0.094,NA,1.044,1.006,1.083,0.118
Hogfish,East,2023,909,0.089,NA,1.264,1.218,1.31,0.116
Lane Snapper,Gulf,2006,503,0.064,0.206,0.341,0.254,0.428,0.265
Lane Snapper,Gulf,2007,534,0.032,0.135,0.254,0.142,0.366,0.458
Lane Snapper,Gulf,2008,420,0.06,0.193,0.252,0.193,0.312,0.247
Lane Snapper,Gulf,2009,533,0.116,0.564,0.647,0.528,0.766,0.192
Lane Snapper,Gulf,2010,514,0.074,0.161,0.148,0.116,0.179,0.222
Lane Snapper,Gulf,2011,801,0.084,0.259,0.385,0.317,0.454,0.184
Lane Snapper,Gulf,2012,843,0.114,0.542,0.575,0.505,0.645,0.127
Lane Snapper,Gulf,2013,565,0.113,0.321,0.341,0.278,0.404,0.193
Lane Snapper,Gulf,2014,850,0.165,0.565,0.46,0.405,0.516,0.125
Lane Snapper,Gulf,2015,742,0.185,1.014,0.706,0.623,0.789,0.122
Lane Snapper,Gulf,2016,1247,0.255,1.914,1.958,1.798,2.117,0.085
Lane Snapper,Gulf,2017,1184,0.223,1.353,1.728,1.563,1.894,0.1
Lane Snapper,Gulf,2018,1177,0.146,0.76,1.171,1.028,1.313,0.127
Lane Snapper,Gulf,2019,1541,0.188,1.37,1.768,1.608,1.929,0.094
Lane Snapper,Gulf,2020,764,0.347,2.647,1.622,1.478,1.766,0.092
Lane Snapper,Gulf,2021,1285,0.292,2.058,1.821,1.68,1.961,0.08
Lane Snapper,Gulf,2022,1245,0.284,2.066,2.004,1.835,2.173,0.088
Lane Snapper,Gulf,2023,1219,0.283,1.871,1.818,1.665,1.971,0.088
Lesser Amberjack,Gulf,2004,NA,NA,0.958,0.643,0.59,0.696,0.653
Lesser Amberjack,Gulf,2005,NA,NA,1.269,1.026,0.978,1.074,0.375
Lesser Amberjack,Gulf,2006,NA,NA,1.367,1.263,1.192,1.334,0.447
Lesser Amberjack,Gulf,2007,NA,NA,1.798,1.285,1.228,1.342,0.351
Lesser Amberjack,Gulf,2008,NA,NA,1.129,1.056,1.007,1.106,0.374
Lesser Amberjack,Gulf,2009,NA,NA,1.045,0.946,0.893,0.998,0.444
Lesser Amberjack,Gulf,2010,NA,NA,0.876,0.812,0.767,0.858,0.449
Lesser Amberjack,Gulf,2011,NA,NA,1.48,1.059,1.01,1.109,0.37
Lesser Amberjack,Gulf,2012,NA,NA,0.731,0.909,0.869,0.95,0.357
Lesser Amberjack,Gulf,2013,NA,NA,0.461,0.469,0.441,0.497,0.473
Lesser Amberjack,Gulf,2014,NA,NA,0.753,0.998,0.948,1.047,0.394
Lesser Amberjack,Gulf,2015,NA,NA,1.438,1.776,1.675,1.877,0.452
Lesser Amberjack,Gulf,2016,NA,NA,0.637,0.671,0.633,0.709,0.45
Lesser Amberjack,Gulf,2017,NA,NA,0.621,0.714,0.68,0.748,0.38
Lesser Amberjack,Gulf,2018,NA,NA,0.947,0.846,0.81,0.882,0.338
Lesser Amberjack,Gulf,2019,NA,NA,0.708,0.732,0.709,0.754,0.242
Lesser Amberjack,Gulf,2020,NA,NA,0.698,0.722,0.684,0.76,0.418
Lesser Amberjack,Gulf,2021,NA,NA,1.088,1.369,1.318,1.42,0.297
Lesser Amberjack,Gulf,2022,NA,NA,1.104,1.481,1.421,1.541,0.322
Lesser Amberjack,Gulf,2023,NA,NA,0.894,1.224,1.18,1.267,0.284
Red Grouper,East,1993,NA,NA,0.774,0.671,0.559,0.784,0.216
Red Grouper,East,1994,NA,NA,0.918,0.76,0.651,0.868,0.184
Red Grouper,East,1995,NA,NA,1.435,1.031,0.868,1.194,0.203
Red Grouper,East,1996,NA,NA,0.814,0.66,0.559,0.761,0.197
Red Grouper,East,1997,NA,NA,1.1,0.885,0.791,0.98,0.137
Red Grouper,East,2002,NA,NA,1.003,0.707,0.632,0.781,0.136
Red Grouper,East,2004,NA,NA,1.373,0.99,0.899,1.081,0.118
Red Grouper,East,2005,NA,NA,1.173,1.293,1.2,1.385,0.092
Red Grouper,East,2006,NA,NA,0.905,1.053,0.966,1.14,0.106
Red Grouper,East,2007,NA,NA,0.608,0.731,0.646,0.816,0.15
Red Grouper,East,2008,NA,NA,0.873,1.138,1.041,1.236,0.111
Red Grouper,East,2009,NA,NA,1.262,1.481,1.383,1.579,0.085
Red Grouper,East,2010,NA,NA,1.157,1.176,1.078,1.274,0.107
Red Grouper,East,2011,NA,NA,1.31,1.433,1.369,1.497,0.058
Red Grouper,East,2012,NA,NA,1.104,1.238,1.174,1.302,0.067
Red Grouper,East,2013,NA,NA,1.137,1.097,1.027,1.167,0.082
Red Grouper,East,2014,NA,NA,0.82,0.825,0.783,0.868,0.066
Red Grouper,East,2015,NA,NA,0.616,0.645,0.605,0.686,0.081
Red Grouper,East,2016,NA,NA,0.865,0.981,0.94,1.022,0.054
Red Grouper,East,2017,NA,NA,0.908,0.927,0.887,0.966,0.055
Red Grouper,East,2018,NA,NA,0.721,0.81,0.77,0.851,0.064
Red Grouper,East,2019,NA,NA,0.787,0.908,0.87,0.946,0.054
Red Grouper,East,2020,NA,NA,1.081,1.023,0.978,1.068,0.057
Red Grouper,East,2021,NA,NA,1.066,1.113,1.07,1.157,0.05
Red Grouper,East,2022,NA,NA,1,1.099,1.054,1.144,0.053
Red Grouper,East,2023,NA,NA,1.188,1.323,1.273,1.374,0.049
Red Snapper,East,2010,192,0.13,0.541,0.482,0.311,0.652,0.331
Red Snapper,East,2011,418,0.11,0.624,0.58,0.446,0.713,0.215
Red Snapper,East,2012,426,0.092,0.377,0.443,0.337,0.549,0.223
Red Snapper,East,2013,283,0.138,0.935,0.834,0.631,1.037,0.227
Red Snapper,East,2014,443,0.108,0.571,0.544,0.443,0.644,0.172
Red Snapper,East,2015,351,0.168,1.302,1.295,0.881,1.71,0.299
Red Snapper,East,2016,630,0.217,2.695,2.547,2.141,2.952,0.148
Red Snapper,East,2017,584,0.199,1.665,1.813,1.499,2.126,0.161
Red Snapper,East,2018,621,0.166,1.304,1.509,1.208,1.811,0.186
Red Snapper,East,2019,723,0.162,1.022,1.173,0.949,1.397,0.178
Red Snapper,East,2020,598,0.154,0.787,0.744,0.626,0.862,0.148
Red Snapper,East,2021,667,0.168,0.706,0.657,0.548,0.767,0.156
Red Snapper,East,2022,571,0.135,0.68,0.658,0.534,0.782,0.176
Red Snapper,East,2023,561,0.175,0.79,0.722,0.594,0.851,0.166
Red Snapper,West,1993,45,0.02,0.09,0.09,0.03,0.26,19.79
Red Snapper,West,1994,45,0.22,0.33,0.35,0.18,0.69,18.21
Red Snapper,West,1995,44,0.16,0.48,0.49,0.26,0.91,22.91
Red Snapper,West,1996,163,0.18,0.57,0.59,0.43,0.81,27.71
Red Snapper,West,1997,127,0.44,1.17,1.21,0.88,1.67,24.26
Red Snapper,West,2002,93,0.4,1.11,1.09,0.75,1.59,29.72
Red Snapper,West,2004,45,0.29,0.91,1.02,0.6,1.75,23.86
Red Snapper,West,2005,135,0.38,0.91,0.91,0.66,1.26,23.48
Red Snapper,West,2006,136,0.21,0.38,0.38,0.26,0.56,21.29
Red Snapper,West,2007,157,0.39,0.99,0.98,0.73,1.33,26.95
Red Snapper,West,2008,125,0.31,0.75,0.72,0.51,1.02,26.62
Red Snapper,West,2009,165,0.37,1.11,1.08,0.81,1.44,24.42
Red Snapper,West,2010,98,0.55,2.33,2.42,1.73,3.38,24.54
Red Snapper,West,2011,103,0.49,1.66,1.65,1.18,2.32,23.09
Red Snapper,West,2012,200,0.5,1.88,1.93,1.51,2.47,23.5
Red Snapper,West,2013,133,0.68,2.5,2.53,1.89,3.38,23.04
Red Snapper,West,2014,111,0.65,3.52,3.46,2.55,4.69,20.7
Red Snapper,West,2015,54,0.57,2.46,2.51,1.61,3.9,21.17
Red Snapper,West,2016,166,0.7,2.6,2.62,2.01,3.41,27.54
Red Snapper,West,2017,187,0.7,4.73,4.77,3.75,6.07,21.93
Red Snapper,West,2018,186,0.69,6.18,6.11,4.81,7.75,22.93
Red Snapper,West,2019,263,0.56,3.24,3.24,2.62,4,24.92
Red Snapper,West,2021,101,0.73,4.9,4.63,3.38,6.36,26.39
Red Snapper,West,2022,120,0.77,4.56,4.57,3.41,6.11,25.58
Red Snapper,West,2023,96,0.69,4.99,4.91,3.57,6.76,22.79
Red Snapper,Central,1993,27,0.111,0.093,0.096,-0.1,0.292,0.615
Red Snapper,Central,1994,30,0.067,0.063,0.087,-0.123,0.297,0.731
Red Snapper,Central,1995,17,0.059,0.037,0.006,-0.016,0.028,1.122
Red Snapper,Central,1996,40,0.075,0.078,0.045,-0.077,0.168,0.814
Red Snapper,Central,1997,41,0.098,0.244,0.22,-0.046,0.485,0.366
Red Snapper,Central,2002,62,0.274,0.444,0.36,0.072,0.649,0.242
Red Snapper,Central,2004,62,0.419,1.222,1.247,0.316,2.177,0.226
Red Snapper,Central,2005,126,0.365,0.855,0.735,0.35,1.119,0.158
Red Snapper,Central,2006,201,0.264,0.863,1.408,0.327,2.489,0.232
Red Snapper,Central,2007,216,0.282,0.76,1.564,0.019,3.108,0.299
Red Snapper,Central,2008,148,0.385,1.312,1.333,0.594,2.071,0.168
Red Snapper,Central,2009,195,0.528,1.933,1.941,0.943,2.939,0.156
Red Snapper,Central,2010,223,0.565,1.511,1.374,0.789,1.959,0.129
Red Snapper,Central,2011,280,0.543,1.496,1.346,0.79,1.902,0.125
Red Snapper,Central,2012,217,0.433,0.805,0.789,0.417,1.162,0.143
Red Snapper,Central,2013,149,0.497,0.967,0.693,0.349,1.037,0.15
Red Snapper,Central,2014,234,0.44,0.827,0.691,0.404,0.978,0.126
Red Snapper,Central,2015,192,0.401,0.842,0.736,0.394,1.079,0.141
Red Snapper,Central,2016,451,0.529,1.539,1.455,1.062,1.849,0.082
Red Snapper,Central,2017,406,0.542,1.546,1.471,1.067,1.876,0.083
Red Snapper,Central,2018,368,0.432,1.154,1.245,0.745,1.745,0.122
Red Snapper,Central,2019,556,0.48,1.258,1.251,0.892,1.61,0.087
Red Snapper,Central,2020,163,0.54,1.36,1.471,0.749,2.192,0.148
Red Snapper,Central,2021,331,0.659,1.985,1.888,1.321,2.455,0.091
Red Snapper,Central,2022,364,0.547,1.674,1.577,1.131,2.023,0.086
Red Snapper,Central,2023,371,0.563,1.133,0.97,0.686,1.254,0.089
Mutton Snapper,East,1996,-,-,1.086,1.081,0.914,1.249,0.366
Mutton Snapper,East,1997,-,-,0.965,0.778,0.635,0.921,0.435
Mutton Snapper,East,2002,-,-,1.72,1.083,0.943,1.222,0.304
Mutton Snapper,East,2004,-,-,1.838,1.131,0.955,1.306,0.367
Mutton Snapper,East,2005,-,-,1.185,0.84,0.744,0.937,0.271
Mutton Snapper,East,2006,-,-,1.5,1.753,1.568,1.937,0.248
Mutton Snapper,East,2007,-,-,1.076,1.092,0.973,1.211,0.257
Mutton Snapper,East,2008,-,-,0.715,0.881,0.756,1.006,0.335
Mutton Snapper,East,2009,-,-,0.706,0.578,0.502,0.654,0.31
Mutton Snapper,East,2010,-,-,1.114,1.015,0.9,1.129,0.267
Mutton Snapper,East,2011,-,-,2.042,2.143,1.949,2.336,0.213
Mutton Snapper,East,2012,-,-,1.945,1.999,1.825,2.173,0.206
Mutton Snapper,East,2014,-,-,0.613,0.886,0.746,1.026,0.373
Mutton Snapper,East,2016,-,-,0.536,0.882,0.812,0.952,0.187
Mutton Snapper,East,2017,-,-,0.319,0.514,0.463,0.565,0.234
Mutton Snapper,East,2018,-,-,0.761,1.021,0.929,1.113,0.213
Mutton Snapper,East,2019,-,-,0.768,1.211,1.131,1.292,0.156
Mutton Snapper,East,2020,-,-,0.455,0.424,0.389,0.459,0.197
Mutton Snapper,East,2021,-,-,0.351,0.334,0.306,0.362,0.198
Mutton Snapper,East,2022,-,-,0.306,0.354,0.322,0.386,0.214
Scamp Grouper,Gulf,1993,NA,NA,1.072,0.797,0.609,0.985,0.215
Scamp Grouper,Gulf,1994,NA,NA,0.488,0.48,0.323,0.638,0.298
Scamp Grouper,Gulf,1995,NA,NA,0.849,0.924,0.585,1.263,0.333
Scamp Grouper,Gulf,1996,NA,NA,0.671,0.625,0.497,0.754,0.187
Scamp Grouper,Gulf,1997,NA,NA,0.702,0.758,0.62,0.895,0.164
Scamp Grouper,Gulf,2002,NA,NA,1.725,1.11,0.947,1.272,0.133
Scamp Grouper,Gulf,2004,NA,NA,2.297,1.538,1.22,1.856,0.188
Scamp Grouper,Gulf,2005,NA,NA,1.635,1.324,1.129,1.518,0.134
Scamp Grouper,Gulf,2006,NA,NA,0.954,0.947,0.768,1.126,0.171
Scamp Grouper,Gulf,2007,NA,NA,1.494,1.628,1.334,1.922,0.164
Scamp Grouper,Gulf,2008,NA,NA,1.237,1.325,1.128,1.522,0.135
Scamp Grouper,Gulf,2009,NA,NA,1.423,1.445,1.26,1.63,0.116
Scamp Grouper,Gulf,2010,NA,NA,1.359,1.125,0.837,1.413,0.233
Scamp Grouper,Gulf,2011,NA,NA,1.43,1.3,1.142,1.458,0.11
Scamp Grouper,Gulf,2012,NA,NA,0.808,1.091,0.938,1.244,0.128
Scamp Grouper,Gulf,2013,NA,NA,0.749,0.877,0.756,0.999,0.126
Scamp Grouper,Gulf,2014,NA,NA,0.876,1.202,1.02,1.383,0.137
Scamp Grouper,Gulf,2015,NA,NA,0.872,1.282,1.076,1.487,0.146
Scamp Grouper,Gulf,2016,NA,NA,0.843,0.99,0.9,1.08,0.083
Scamp Grouper,Gulf,2017,NA,NA,0.829,0.955,0.861,1.048,0.089
Scamp Grouper,Gulf,2018,NA,NA,0.741,0.855,0.765,0.945,0.096
Scamp Grouper,Gulf,2019,NA,NA,0.615,0.654,0.599,0.71,0.077
Scamp Grouper,Gulf,2020,NA,NA,0.375,0.411,0.355,0.468,0.125
Scamp Grouper,Gulf,2021,NA,NA,0.623,0.762,0.693,0.83,0.082
Scamp Grouper,Gulf,2022,NA,NA,0.698,0.815,0.745,0.886,0.078
Scamp Grouper,Gulf,2023,NA,NA,0.634,0.781,0.705,0.858,0.089
Yellowmouth Grouper,West,1993,NA,NA,0.318,0.337,0.258,0.416,0.844
Yellowmouth Grouper,West,1994,NA,NA,0.478,0.332,0.27,0.394,0.672
Yellowmouth Grouper,West,1995,NA,NA,1.549,0.597,0.512,0.682,0.513
Yellowmouth Grouper,West,1996,NA,NA,0.998,0.533,0.484,0.581,0.33
Yellowmouth Grouper,West,1997,NA,NA,2.482,1.362,1.271,1.453,0.241
Yellowmouth Grouper,West,2002,NA,NA,2.08,1.032,0.947,1.116,0.294
Yellowmouth Grouper,West,2004,NA,NA,1.316,0.858,0.744,0.973,0.482
Yellowmouth Grouper,West,2005,NA,NA,1.159,0.904,0.827,0.981,0.307
Yellowmouth Grouper,West,2006,NA,NA,0.632,0.841,0.748,0.933,0.398
Yellowmouth Grouper,West,2007,NA,NA,0.589,0.543,0.491,0.595,0.347
Yellowmouth Grouper,West,2008,NA,NA,0.688,0.888,0.793,0.983,0.384
Yellowmouth Grouper,West,2009,NA,NA,0.391,0.419,0.374,0.465,0.39
Yellowmouth Grouper,West,2010,NA,NA,0.658,1.068,0.902,1.233,0.56
Yellowmouth Grouper,West,2011,NA,NA,0.974,0.871,0.784,0.958,0.361
Yellowmouth Grouper,West,2012,NA,NA,1.182,1.3,1.204,1.396,0.266
Yellowmouth Grouper,West,2013,NA,NA,2.1,3.047,2.73,3.365,0.376
Yellowmouth Grouper,West,2014,NA,NA,1.458,1.711,1.547,1.876,0.347
Yellowmouth Grouper,West,2015,NA,NA,1.061,1.989,1.568,2.411,0.765
Yellowmouth Grouper,West,2016,NA,NA,0.944,1.081,0.982,1.179,0.329
