Year,Benthic,Cover,SE,SEup,SElow
2002,Sponge,0.82119748,0.344825785,1.166023265,0.476371696
2003,Sponge,1.503338991,0.393050753,1.896389744,1.110288238
2004,Sponge,0.31,0.24,0.55,0.07
2005,Sponge,0.48,0.26,0.74,0.22
2006,Sponge,0.83,0.33,1.16,0.5
2007,Sponge,0.56,0.22,0.78,0.34
2008,Sponge,0.4,0.15,0.55,0.25
2009,Sponge,0.458096358,0.119643074,0.577739432,0.338453284
2010,Sponge,0.324896202,0.105656055,0.430552257,0.219240148
2011,Sponge,0.49,0.17,0.66,0.32
2012,Sponge,0.62,0.23,0.85,0.39
2013,Sponge,0.32,0.14,0.46,0.18
2014,Sponge,0.28,0.08,0.36,0.2
2015,Sponge,0.335584092,0.08932491,0.424909002,0.246259182
2016,Sponge,0.538781267,0.12604547,0.664826737,0.412735797
2017,Sponge,2.23,0.25,2.48,1.98
2018,Sponge,0.930854999,0.189075513,1.119930513,0.741779486
2019,Sponge,0.85,0.14,0.99,0.71
2020,Sponge,,,,
2021,Sponge,,,,
2022,Sponge,1.153235502,0.220760226,1.373995728,0.932475276
2023,Sponge,0.792634761,0.116730687,0.909365448,0.675904074
2024,Sponge,1.353851517,0.266951274,1.620802791,1.086900243
2025,Sponge,1.076928415,0.165751973,1.242680388,0.911176442
1991,Colonizable Substrate,,,,
1992,Colonizable Substrate,21.9,1.67,23.57,20.23
1993,Colonizable Substrate,,,,
1994,Colonizable Substrate,17.05,1.32,18.37,15.73
1995,Colonizable Substrate,15.99,2.05,18.04,13.94
1996,Colonizable Substrate,24.23,1.13,25.36,23.1
1997,Colonizable Substrate,30.35,2.21,32.56,28.14
1998,Colonizable Substrate,8.87,1.18,10.05,7.69
1999,Colonizable Substrate,9.14,2.29,11.43,6.85
2000,Colonizable Substrate,9.47,0.46,9.93,9.01
2001,Colonizable Substrate,13.78,1.8,15.58,11.98
2002,Colonizable Substrate,21.25782713,2.623754459,23.88158159,18.63407267
2003,Colonizable Substrate,17.07021814,0.559790564,17.63000871,16.51042758
2004,Colonizable Substrate,20.79,3.08,23.87,17.71
2005,Colonizable Substrate,8.68,1.49,10.17,7.19
2006,Colonizable Substrate,20.32,1.94,22.26,18.38
2007,Colonizable Substrate,23.3,2.11,25.41,21.19
2008,Colonizable Substrate,13.35,1.77,15.12,11.58
2009,Colonizable Substrate,8.444687297,0.120396001,8.565083298,8.324291296
2010,Colonizable Substrate,11.61244202,1.007040832,12.61948285,10.60540119
2011,Colonizable Substrate,9.640933869,0.074682305,9.715616174,9.566251564
2012,Colonizable Substrate,7.376254695,0.170334204,7.546588899,7.205920492
2013,Colonizable Substrate,7.02,0.58,7.6,6.44
2014,Colonizable Substrate,8.09,0.76,8.85,7.33
2015,Colonizable Substrate,6.079368855,0.922039278,7.001408132,5.157329577
2016,Colonizable Substrate,7.90562305,0.92731799,8.832941039,6.97830506
2017,Colonizable Substrate,13.92,1.33,15.25,12.59
2018,Colonizable Substrate,7.412875791,1.896798238,9.309674029,5.516077553
2019,Colonizable Substrate,4.052804152,0.94,4.992804152,3.112804152
2020,Colonizable Substrate,,,,
2021,Colonizable Substrate,,,,
2022,Colonizable Substrate,11.32,0.74,12.06,10.58
2023,Colonizable Substrate,10.3,0.61,10.91,9.69
2024,Colonizable Substrate,18.70424671,1.481535647,20.18578236,17.22271107
2025,Colonizable Substrate,11.66724251,1.070532317,12.73777483,10.59671019
1991,CCA,,,,
1992,CCA,2.8,0.29,3.09,2.51
1993,CCA,,,,
1994,CCA,6.23,0.55,6.78,5.68
1995,CCA,2.49,0.54,3.03,1.95
1996,CCA,5.09,0.37,5.46,4.72
1997,CCA,4.94,0.59,5.53,4.35
1998,CCA,5.87,0.46,6.33,5.41
1999,CCA,1.92,0.2,2.12,1.72
2000,CCA,4.22,0.5,4.72,3.72
2001,CCA,2.95,0.31,3.26,2.64
2002,CCA,5.151554267,0.811637533,5.9631918,4.339916735
2003,CCA,6.528127806,1.034952269,7.563080075,5.493175537
2004,CCA,0.1,0.01,0.11,0.09
2005,CCA,3.28,0.82,4.1,2.46
2006,CCA,2.83,0.53,3.36,2.3
2007,CCA,1.13,0.25,1.38,0.88
2008,CCA,4.29,0.78,5.07,3.51
2009,CCA,3.190663027,0.520992595,3.711655622,2.669670431
2010,CCA,2.554959249,0.409520865,2.964480113,2.145438384
2011,CCA,1.89,0.39,2.28,1.5
2012,CCA,1.25,0.28,1.53,0.97
2013,CCA,0.92,0.16,1.08,0.76
2014,CCA,1.46,0.19,1.65,1.27
2015,CCA,2.87,0.4,3.27,2.47
2016,CCA,3.26,0.51,3.77,2.75
2017,CCA,4.51,0.51,5.02,4
2018,CCA,3.34,0.35,3.69,2.99
2019,CCA,6.167195848,0.86453624,7.031732088,5.302659609
2020,CCA,,,,
2021,CCA,,,,
2022,CCA,3.589525609,0.456983189,4.046508797,3.13254242
2023,CCA,2.915793581,0.417983872,3.333777454,2.497809709
2024,CCA,4.757627664,0.47640873,5.234036394,4.281218935
2025,CCA,4.501978184,0.342151534,4.844129719,4.15982665
1991,Sand,,,,
1992,Sand,0.49,0.17,0.66,0.32
1993,Sand,,,,
1994,Sand,0.49,0.27,0.76,0.22
1995,Sand,0.17,0.07,0.24,0.1
1996,Sand,0.8,0.5,1.3,0.3
1997,Sand,0.65,0.64,1.29,0.01
1998,Sand,2.76,1.26,4.02,1.5
1999,Sand,0.45,0.19,0.64,0.26
2000,Sand,0.19,0.09,0.28,0.1
2001,Sand,0.24,0.19,0.43,0.05
2002,Sand,1.953791622,1.379330977,3.333122599,0.574460646
2003,Sand,0.837341718,0.382746977,1.220088695,0.45459474
2004,Sand,0.13,0.11,0.24,0.02
2005,Sand,0.51,0.25,0.76,0.26
2006,Sand,0.33,0.15,0.48,0.18
2007,Sand,0.74,0.37,1.11,0.37
2008,Sand,0.31,0.16,0.47,0.15
2009,Sand,0.273353398,0.216805152,0.49015855,0.056548245
2010,Sand,0.133148967,0.069716933,0.2028659,0.063432033
2011,Sand,0.12,0.07,0.19,0.05
2012,Sand,0.41,0.17,0.58,0.24
2013,Sand,1.48,0.62,2.1,0.86
2014,Sand,0.77,0.58,1.35,0.19
2015,Sand,0.24,0.1,0.34,0.14
2016,Sand,0.86,0.61,1.47,0.25
2017,Sand,0.78,0.29,1.07,0.49
2018,Sand,0.95,0.44,1.39,0.51
2019,Sand,0.704377949,0.381604482,1.085982431,0.322773466
2020,Sand,,,,
2021,Sand,,,,
2022,Sand,0.770286931,0.260896055,1.031182986,0.509390876
2023,Sand,0.209945876,0.127029961,0.336975838,0.082915915
2024,Sand,0.132988549,0.073499423,0.206487972,0.059489126
2025,Sand,0.270350691,0.114974761,0.385325452,0.155375929
1991,Hydrocoral,,,,
1992,Hydrocoral,1.802285313,0.51169885,2.313984164,1.290586463
1993,Hydrocoral,,,,
1994,Hydrocoral,2.427403496,0.618194392,3.045597888,1.809209103
1995,Hydrocoral,2.000943482,0.569247964,2.570191446,1.431695518
1996,Hydrocoral,1.16332334,0.352061466,1.515384806,0.811261874
1997,Hydrocoral,1.194727783,0.417214323,1.611942105,0.77751346
1998,Hydrocoral,1.25453828,0.368658749,1.623197029,0.885879531
1999,Hydrocoral,1.758913901,0.525739824,2.284653725,1.233174078
2000,Hydrocoral,1.453918423,0.302130437,1.75604886,1.151787986
2001,Hydrocoral,1.115354799,0.304864053,1.420218852,0.810490747
2002,Hydrocoral,0.963314449,0.412105093,1.375419542,0.551209356
2003,Hydrocoral,3.084270052,0.422629849,3.506899901,2.661640203
2004,Hydrocoral,1.05,0.51,1.56,0.54
2005,Hydrocoral,1.68,0.47,2.15,1.21
2006,Hydrocoral,0.65,0.2,0.85,0.45
2007,Hydrocoral,0.81,0.27,1.08,0.54
2008,Hydrocoral,0.28,0.14,0.42,0.14
2009,Hydrocoral,0.143799176,0.114102678,0.257901854,0.029696498
2010,Hydrocoral,0.120949122,0.052040496,0.172989618,0.068908627
2011,Hydrocoral,0.113431477,0.071718087,0.185149564,0.041713391
2012,Hydrocoral,0.138135982,0.049938274,0.188074256,0.088197707
2013,Hydrocoral,0.184990515,0.076785028,0.261775543,0.108205487
2014,Hydrocoral,0.078964518,0.053949729,0.132914246,0.025014789
2015,Hydrocoral,0.201455174,0.074227056,0.275682231,0.127228118
2016,Hydrocoral,0.197939443,0.059354136,0.257293579,0.138585306
2017,Hydrocoral,0.038433896,0.027719647,0.066153542,0.010714249
2018,Hydrocoral,0.131047315,0.118252299,0.249299614,0.012795016
2019,Hydrocoral,0.368632575,0.21723959,0.585872165,0.151392985
2020,Hydrocoral,,,,
2021,Hydrocoral,,,,
2022,Hydrocoral,0.133004963,0.082573064,0.215578028,0.050431899
2023,Hydrocoral,0.141402715,0.141402715,0.28280543,0
2024,Hydrocoral,0.105638176,0.091502254,0.197140431,0.014135922
2025,Hydrocoral,0.012729124,0.012729124,0.025458248,0
