Year,Benthic,Cover,SE,SEup,SElow
1996,Macroalgae,19.99,1.24,21.23,18.75
1997,Macroalgae,16.52,1.07,17.59,15.45
1998,Macroalgae,30.39,3.54,33.93,26.85
1999,Macroalgae,19.14,2.52,21.66,16.62
2000,Macroalgae,9.44,1.07,10.51,8.37
2001,Macroalgae,17.98,1.65,19.63,16.33
2002,Macroalgae,12.65668284,2.710493708,15.36717655,9.946189134
2003,Macroalgae,11.69274772,1.180174354,12.87292208,10.51257337
2004,Macroalgae,14.75,1.5,16.25,13.25
2005,Macroalgae,18.35,1.44,19.79,16.91
2006,Macroalgae,12.38,1.34,13.72,11.04
2007,Macroalgae,17.64,2.44,20.08,15.2
2008,Macroalgae,12.06,1.31,13.37,10.75
2009,Macroalgae,29.61181582,2.729217518,32.34103334,26.8825983
2010,Macroalgae,24.95785673,2.21188736,27.16974409,22.74596937
2011,Macroalgae,29.10668755,1.897078823,31.00376638,27.20960873
2012,Macroalgae,31.42531629,2.480773494,33.90608979,28.9445428
2013,Macroalgae,27.71,2.19,29.9,25.52
2014,Macroalgae,26.14,2.23,28.37,23.91
2015,Macroalgae,31.60183946,2.845878961,34.44771842,28.7559605
2016,Macroalgae,25.69240114,2.442610936,28.13501208,23.24979021
2017,Macroalgae,22.64,1.59,24.23,21.05
2018,Macroalgae,27.17736009,2.026187833,29.20354793,25.15117226
2019,Macroalgae,21.11,1.7,22.81,19.41
2020,Macroalgae,,,,
2021,Macroalgae,,,,
2022,Macroalgae,27.29761709,2.320973539,29.61859063,24.97664355
2023,Macroalgae,28.91525692,2.348720507,31.26397742,26.56653641
2024,Macroalgae,16.89864657,1.317731986,18.21637856,15.58091459
2025,Macroalgae,12.9001107,1.402839573,14.30295027,11.49727113
1991,Sponge,,,,
1992,Sponge,2.28,0.36,2.64,1.92
1993,Sponge,,,,
1994,Sponge,3.05,0.74,3.79,2.31
1995,Sponge,0.92,0.15,1.07,0.77
1996,Sponge,2.37,0.41,2.78,1.96
1997,Sponge,1.95,1.95,3.9,0
1998,Sponge,1.87,1.87,3.74,0
1999,Sponge,1.52,0.28,1.8,1.24
2000,Sponge,1.19,0.24,1.43,0.95
2001,Sponge,1.13,0.2,1.33,0.93
2002,Sponge,1.054065413,0.400898747,1.45496416,0.653166666
2003,Sponge,1.731455685,0.53755368,2.269009365,1.193902005
2004,Sponge,0.4,0.15,0.55,0.25
2005,Sponge,0.25,0.11,0.36,0.14
2006,Sponge,0.46,0.12,0.58,0.34
2007,Sponge,0.35,0.1,0.45,0.25
2008,Sponge,1,0.47,1.47,0.53
2009,Sponge,0.184290062,0.080448736,0.264738798,0.103841326
2010,Sponge,0.200669249,0.08456653,0.285235779,0.116102719
2011,Sponge,0.31,0.11,0.42,0.2
2012,Sponge,0.68,0.24,0.92,0.44
2013,Sponge,0.65,0.27,0.92,0.38
2014,Sponge,1.53,0.29,1.82,1.24
2015,Sponge,0.666036668,0.162439829,0.828476497,0.503596839
2016,Sponge,0.739242251,0.14021983,0.879462081,0.599022421
2017,Sponge,1.02,0.15,1.17,0.87
2018,Sponge,1.290508948,0.195427704,1.485936652,1.095081244
2019,Sponge,1.36,0.33,1.69,1.03
2020,Sponge,,,,
2021,Sponge,,,,
2022,Sponge,0.723504738,0.179246534,0.902751272,0.544258204
2023,Sponge,1.481570282,0.391350467,1.872920748,1.090219815
2024,Sponge,1.330132342,0.291096432,1.621228774,1.03903591
2025,Sponge,1.319324914,0.227133229,1.546458143,1.092191685
1991,Colonizable Substrate,,,,
1992,Colonizable Substrate,25.36,1.37,26.73,23.99
1993,Colonizable Substrate,,,,
1994,Colonizable Substrate,27.73,1.61,29.34,26.12
1995,Colonizable Substrate,21.93,1.68,23.61,20.25
1996,Colonizable Substrate,19.37,0.55,19.92,18.82
1997,Colonizable Substrate,27.45,1.15,28.6,26.3
1998,Colonizable Substrate,9.6,1.39,10.99,8.21
1999,Colonizable Substrate,15.16,1.48,16.64,13.68
2000,Colonizable Substrate,22.98,1.77,24.75,21.21
2001,Colonizable Substrate,21.36,2.39,23.75,18.97
2002,Colonizable Substrate,25.91555956,2.076994545,27.99255411,23.83856502
2003,Colonizable Substrate,24.7542784,2.24031143,26.99458983,22.51396697
2004,Colonizable Substrate,17.5,2.11,19.61,15.39
2005,Colonizable Substrate,15.31,1.67,16.98,13.64
2006,Colonizable Substrate,22.06,2.06,24.12,20
2007,Colonizable Substrate,21.77,1.89,23.66,19.88
2008,Colonizable Substrate,22.42,2.41,24.83,20.01
2009,Colonizable Substrate,16.35689207,1.546813875,17.90370594,14.81007819
2010,Colonizable Substrate,11.1379925,1.114613904,12.25260641,10.0233786
2011,Colonizable Substrate,9.103248303,0.250979991,9.354228294,8.852268312
2012,Colonizable Substrate,9.562919253,0.25865026,9.821569512,9.304268993
2013,Colonizable Substrate,10.43,0.73,11.16,9.7
2014,Colonizable Substrate,7.85,0.5,8.35,7.35
2015,Colonizable Substrate,6.527966146,1.2387805,7.766746646,5.289185647
2016,Colonizable Substrate,10.82684456,0.983622771,11.81046733,9.843221787
2017,Colonizable Substrate,16.07,1.12,17.19,14.95
2018,Colonizable Substrate,12.22167421,1.088566001,13.31024021,11.13310821
2019,Colonizable Substrate,12.01842514,1.83,13.84842514,10.18842514
2020,Colonizable Substrate,,,,
2021,Colonizable Substrate,,,,
2022,Colonizable Substrate,11.66,0.315976802,11.9759768,11.3440232
2023,Colonizable Substrate,10.91,0.83,11.74,10.08
2024,Colonizable Substrate,14.98099806,1.052153074,16.03315113,13.92884498
2025,Colonizable Substrate,21.20104905,1.54193054,22.74297959,19.65911851
1991,CCA,,,,
1992,CCA,3.5,0.39,3.89,3.11
1993,CCA,,,,
1994,CCA,6.09,0.44,6.53,5.65
1995,CCA,5.93,0.67,6.6,5.26
1996,CCA,8.89,1.16,10.05,7.73
1997,CCA,7.26,1.23,8.49,6.03
1998,CCA,10.11,1.14,11.25,8.97
1999,CCA,7.49,0.66,8.15,6.83
2000,CCA,4.65,0.83,5.48,3.82
2001,CCA,3.33,0.33,3.66,3
2002,CCA,2.046275477,0.70374531,2.750020787,1.342530168
2003,CCA,2.988273751,0.320211262,3.308485013,2.668062488
2004,CCA,3.35,1.16,4.51,2.19
2005,CCA,2.96,0.65,3.61,2.31
2006,CCA,3.58,0.47,4.05,3.11
2007,CCA,2.5,0.34,2.84,2.16
2008,CCA,4.32,1,5.32,3.32
2009,CCA,0.94748742,0.20365253,1.15113995,0.74383489
2010,CCA,0.448817748,0.093278907,0.542096655,0.35553884
2011,CCA,1.3,0.23,1.53,1.07
2012,CCA,2.71,0.61,3.32,2.1
2013,CCA,0.4,0.08,0.48,0.32
2014,CCA,2.2,0.26,2.46,1.94
2015,CCA,2.56,0.57,3.13,1.99
2016,CCA,3.22,0.28,3.5,2.94
2017,CCA,2.2,0.22,2.42,1.98
2018,CCA,2.32,0.3,2.62,2.02
2019,CCA,3.821574862,0.852010234,4.673585097,2.969564628
2020,CCA,,,,
2021,CCA,,,,
2022,CCA,2.62,0.852010234,3.472010234,1.767989766
2023,CCA,3.366719818,0.334862465,3.701582284,3.031857353
2024,CCA,3.100360659,0.252693519,3.353054178,2.84766714
2025,CCA,2.35587464,0.3357677,2.69164234,2.020106941
1991,Sand,,,,
1992,Sand,1.53,0.61,2.14,0.92
1993,Sand,,,,
1994,Sand,0.03,0.03,0.06,0
1995,Sand,0.01,0.01,0.02,0
1996,Sand,0.01,0.01,0.02,0
1997,Sand,0.9,0.36,1.26,0.54
1998,Sand,0.29,0.09,0.38,0.2
1999,Sand,0.13,0.08,0.21,0.05
2000,Sand,0.48,0.14,0.62,0.34
2001,Sand,0.54,0.18,0.72,0.36
2002,Sand,1.091243927,0.521239158,1.612483084,0.570004769
2003,Sand,0.94696746,0.191492533,1.138459993,0.755474926
2004,Sand,1.66,0.61,2.27,1.05
2005,Sand,0.75,0.49,1.24,0.26
2006,Sand,0.66,0.21,0.87,0.45
2007,Sand,0.61,0.2,0.81,0.41
2008,Sand,0.06,0.06,0.12,0
2009,Sand,0.153472086,0.081233984,0.234706071,0.072238102
2010,Sand,0.379635711,0.174363012,0.553998723,0.2052727
2011,Sand,0.44,0.25,0.69,0.19
2012,Sand,0.53,0.26,0.79,0.27
2013,Sand,1.35,0.67,2.02,0.68
2014,Sand,1.21,0.44,1.65,0.77
2015,Sand,0.63,0.2,0.83,0.43
2016,Sand,0.68,0.36,1.04,0.32
2017,Sand,1.51,0.89,2.4,0.62
2018,Sand,1.03,0.42,1.45,0.61
2019,Sand,0.946767248,0.370404087,1.317171335,0.576363161
2020,Sand,,,,
2021,Sand,,,,
2022,Sand,0.821976761,0.246232982,1.068209743,0.575743779
2023,Sand,0.365663363,0.106076104,0.471739467,0.259587259
2024,Sand,0.877796482,0.49767172,1.375468202,0.380124762
2025,Sand,0.877796482,0.49767172,1.375468202,0.380124762
1991,Hydrocoral,,,,
1992,Hydrocoral,1.044164875,0.265760876,1.309925751,0.778403999
1993,Hydrocoral,,,,
1994,Hydrocoral,1.957568477,0.696790425,2.654358902,1.260778052
1995,Hydrocoral,1.619251276,0.395500052,2.014751328,1.223751224
1996,Hydrocoral,0.654548057,0.169994902,0.82454296,0.484553155
1997,Hydrocoral,1.235768993,0.485245059,1.721014052,0.750523935
1998,Hydrocoral,0.426962274,0.169533104,0.596495378,0.257429169
1999,Hydrocoral,0.490851786,0.129740849,0.620592635,0.361110936
2000,Hydrocoral,0.979046967,0.184458795,1.163505761,0.794588172
2001,Hydrocoral,1.035719954,0.335462504,1.371182458,0.700257449
2002,Hydrocoral,2.608345857,1.034071275,3.642417132,1.574274583
2003,Hydrocoral,1.890886743,0.624440679,2.515327422,1.266446064
2004,Hydrocoral,1.05,0.51,1.56,0.54
2005,Hydrocoral,1.68,0.47,2.15,1.21
2006,Hydrocoral,0.65,0.2,0.85,0.45
2007,Hydrocoral,0.81,0.27,1.08,0.54
2008,Hydrocoral,0.28,0.14,0.42,0.14
2009,Hydrocoral,0.270046152,0.123636538,0.39368269,0.146409614
2010,Hydrocoral,0.745007083,0.315588229,1.060595312,0.429418854
2011,Hydrocoral,0.207326757,0.125457891,0.332784648,0.081868867
2012,Hydrocoral,0.148604984,0.057347186,0.205952171,0.091257798
2013,Hydrocoral,0.326065881,0.167884265,0.493950146,0.158181616
2014,Hydrocoral,0.771807665,0.282197153,1.054004818,0.489610512
2015,Hydrocoral,0.316851021,0.153842229,0.47069325,0.163008791
2016,Hydrocoral,0.897518018,0.500803273,1.398321291,0.396714746
2017,Hydrocoral,0.586973355,0.464944991,1.051918346,0.122028364
2018,Hydrocoral,0.474082292,0.171887785,0.645970077,0.302194507
2019,Hydrocoral,0.268277235,0.090698317,0.358975551,0.177578918
2020,Hydrocoral,,,,
2021,Hydrocoral,,,,
2022,Hydrocoral,0.366802057,0.138702653,0.505504711,0.228099404
2023,Hydrocoral,0.748935818,0.32982778,1.078763597,0.419108038
2024,Hydrocoral,0.375048982,0.154962021,0.530011003,0.220086962
2025,Hydrocoral,0.038877219,0.028282325,0.067159545,0.010594894
